"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW**1";"CS1204AF260-SMD";1;"SW_Push_Dual";;;
2;"TP17";"TestPoint_Pad_D1.0mm";1;"~{CHG}";;;
3;"TP16";"TestPoint_Pad_D1.0mm";1;"PG";;;
4;"C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"220 nF";;;
5;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
6;"D1";"BAS16TS_R1_00001";1;"BAS16TS_R1_00001";;;
7;"R12";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3K3";;;
8;"R11,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"100K";;;
9;"R10,R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
10;"R7,R6,R5,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"1K";;;
11;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2K";;;
12;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2K7";;;
13;"TP13";"TestPoint_Pad_D1.5mm";1;"GND";;;
14;"TP12";"TestPoint_Pad_D1.5mm";1;"VCC";;;
15;"TP11";"TestPoint_Pad_D1.5mm";1;"DC";;;
16;"TP10";"TestPoint_Pad_D1.5mm";1;"RST";;;
17;"TP9";"TestPoint_Pad_D1.5mm";1;"CS";;;
18;"TP8";"TestPoint_Pad_D1.5mm";1;"BL";;;
19;"TP7";"TestPoint_Pad_D1.5mm";1;"SCK";;;
20;"TP6";"TestPoint_Pad_D1.5mm";1;"MOSI";;;
21;"TP4";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"BAT+";;;
22;"TP3";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"SW2";;;
23;"Q**2,Q**3,Q**1";"SP8K52FRATB";3;"SP8K52FRATB";;;
24;"TP15";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"STIM2";;;
25;"U1";"Nano Every";1;"Nano Every";;;
26;"L1";"LPS6225-105MRC";1;"1mH";;;
27;"TP14";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"STIM1";;;
28;"TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"BAT-";;;
29;"TP5";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"SW1";;;
30;"Q2,Q1";"IRFL9110TRPBF-BE3";2;"IRFL9110TRPBF-BE3";;;
31;"U2";"BQ24093DGQR";1;"BQ24093DGQR";;;
32;"TP1";"TestPoint_THTPad_D2.0mm_Drill1.0mm";1;"VBUS";;;
